Survived,Pclass,Sex,Age,SibSp,Fare,Cabin,Embarked,Alone,Title,NameSize,NameCount
0,3,male,22.0,1.0,7.25,0,S,0, Mr,23,4
1,1,female,38.0,1.0,65.6344,1,C,0, Mrs,51,7
1,3,female,26.0,0.0,7.925,0,S,1, Miss,22,3
1,1,female,35.0,1.0,53.1,1,S,0, Mrs,44,7
0,3,male,35.0,0.0,8.05,0,S,1, Mr,24,4
0,3,male,28.0,0.0,8.4583,0,Q,1, Mr,16,3
0,1,male,54.0,0.0,51.8625,1,S,1, Mr,23,4
0,3,male,2.5,2.5,21.075,0,S,0, Other,30,4
1,3,female,27.0,0.0,11.1333,0,S,1, Mrs,49,7
1,2,female,14.0,1.0,30.0708,0,C,0, Mrs,35,5
1,3,female,4.0,1.0,16.7,1,S,0, Miss,31,4
1,1,female,54.5,0.0,26.55,1,S,1, Miss,24,3
0,3,male,20.0,0.0,8.05,0,S,1, Mr,30,4
0,3,male,39.0,1.0,31.275,0,S,0, Mr,27,4
0,3,female,14.0,0.0,7.8542,0,S,1, Miss,36,5
1,2,female,54.5,0.0,16.0,0,S,1, Mrs,32,6
0,3,male,2.5,2.5,29.125,0,Q,0, Other,20,3
1,2,male,28.0,0.0,13.0,0,S,1, Mr,28,4
0,3,female,31.0,1.0,18.0,0,S,0, Mrs,55,7
1,3,female,28.0,0.0,7.225,0,C,1, Mrs,23,3
0,2,male,35.0,0.0,26.0,0,S,1, Mr,20,4
1,2,male,34.0,0.0,13.0,1,S,1, Mr,21,3
1,3,female,15.0,0.0,8.0292,0,Q,1, Miss,27,4
1,1,male,28.0,0.0,35.5,1,S,1, Mr,28,4
0,3,female,8.0,2.5,21.075,0,S,0, Miss,29,4
1,3,female,38.0,1.0,31.3875,0,S,0, Mrs,57,8
0,3,male,28.0,0.0,7.225,0,C,1, Mr,23,4
0,1,male,19.0,2.5,65.6344,1,S,0, Mr,30,4
1,3,female,28.0,0.0,7.8792,0,Q,1, Miss,29,4
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,19,3
0,1,male,40.0,0.0,27.7208,0,C,1, Other,24,4
1,1,female,28.0,1.0,65.6344,1,C,0, Mrs,46,6
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,24,4
0,2,male,54.5,0.0,10.5,0,S,1, Mr,21,4
0,1,male,28.0,1.0,65.6344,0,C,0, Mr,23,4
0,1,male,42.0,1.0,52.0,0,S,0, Mr,30,4
1,3,male,28.0,0.0,7.2292,0,C,1, Mr,16,3
0,3,male,21.0,0.0,8.05,0,S,1, Mr,24,4
0,3,female,18.0,2.0,18.0,0,S,0, Miss,34,5
1,3,female,14.0,1.0,11.2417,0,C,0, Miss,27,3
0,3,female,40.0,1.0,9.475,0,S,0, Mrs,46,6
0,2,female,27.0,1.0,21.0,0,S,0, Mrs,56,8
0,3,male,28.0,0.0,7.8958,0,C,1, Mr,19,3
1,2,female,3.0,1.0,41.5792,0,C,0, Miss,40,6
1,3,female,19.0,0.0,7.8792,0,Q,1, Miss,29,4
0,3,male,28.0,0.0,8.05,0,S,1, Mr,24,4
0,3,male,28.0,1.0,15.5,0,Q,0, Mr,17,3
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,25,3
0,3,male,28.0,2.0,21.6792,0,C,0, Mr,19,3
0,3,female,18.0,1.0,17.8,0,S,0, Mrs,45,5
0,3,male,7.0,2.5,39.6875,0,S,0, Other,26,4
0,3,male,21.0,0.0,7.8,0,S,1, Mr,28,4
1,1,female,49.0,1.0,65.6344,1,C,0, Mrs,40,6
1,2,female,29.0,1.0,26.0,0,S,0, Mrs,50,6
0,1,male,54.5,0.0,61.9792,1,C,1, Mr,30,4
1,1,male,28.0,0.0,35.5,1,S,1, Mr,17,3
1,2,female,21.0,0.0,10.5,0,S,1, Miss,17,3
0,3,male,28.0,0.0,7.2292,0,C,1, Mr,19,3
1,2,female,5.0,1.0,27.75,0,S,0, Miss,28,4
0,3,male,11.0,2.5,46.9,0,S,0, Other,34,4
0,3,male,22.0,0.0,7.2292,0,C,1, Mr,21,3
1,1,female,38.0,0.0,65.6344,1,S,1, Miss,19,3
0,1,male,45.0,1.0,65.6344,1,S,0, Mr,27,4
0,3,male,4.0,2.5,27.9,0,S,0, Other,21,3
0,1,male,28.0,0.0,27.7208,0,C,1, Mr,21,4
1,3,male,28.0,1.0,15.2458,0,C,0, Other,24,3
1,2,female,29.0,0.0,10.5,1,S,1, Mrs,28,4
0,3,male,19.0,0.0,8.1583,0,S,1, Mr,24,4
1,3,female,17.0,2.5,7.925,0,S,0, Miss,31,4
0,3,male,26.0,2.0,8.6625,0,S,0, Mr,17,3
0,2,male,32.0,0.0,10.5,0,S,1, Mr,26,4
0,3,female,16.0,2.5,46.9,0,S,0, Miss,26,4
0,2,male,21.0,0.0,65.6344,0,S,1, Mr,20,4
0,3,male,26.0,1.0,14.4542,0,C,0, Mr,27,3
1,3,male,32.0,0.0,56.4958,0,S,1, Mr,13,3
0,3,male,25.0,0.0,7.65,1,S,1, Mr,23,4
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,17,3
0,3,male,28.0,0.0,8.05,0,S,1, Mr,24,4
1,2,male,2.5,0.0,29.0,0,S,1, Other,29,4
1,3,female,30.0,0.0,12.475,0,S,1, Miss,24,3
0,3,male,22.0,0.0,9.0,0,S,1, Mr,20,3
1,3,male,29.0,0.0,9.5,0,S,1, Mr,27,4
1,3,female,28.0,0.0,7.7875,0,Q,1, Miss,30,4
0,1,male,28.0,0.0,47.1,0,S,1, Mr,23,4
1,2,female,17.0,0.0,10.5,0,S,1, Miss,19,3
1,3,female,33.0,2.5,15.85,0,S,0, Mrs,55,7
0,3,male,16.0,1.0,34.375,0,S,0, Mr,22,4
0,3,male,28.0,0.0,8.05,0,S,1, Mr,29,4
1,1,female,23.0,2.5,65.6344,1,S,0, Miss,26,4
0,3,male,24.0,0.0,8.05,0,S,1, Mr,22,3
0,3,male,29.0,0.0,8.05,0,S,1, Mr,20,3
0,3,male,20.0,0.0,7.8542,0,S,1, Mr,26,4
0,1,male,46.0,1.0,61.175,1,S,0, Mr,27,4
0,3,male,26.0,1.0,20.575,0,S,0, Mr,23,4
0,3,male,54.5,0.0,7.25,0,S,1, Mr,17,3
0,3,male,28.0,0.0,8.05,0,S,1, Mr,27,4
0,1,male,54.5,0.0,34.6542,1,C,1, Mr,25,4
1,1,male,23.0,0.0,63.3583,1,C,1, Mr,31,4
1,2,female,34.0,0.0,23.0,0,S,1, Mrs,36,7
0,2,male,34.0,1.0,26.0,0,S,0, Mr,17,3
0,3,female,28.0,0.0,7.8958,0,S,1, Miss,23,3
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,32,4
0,1,male,21.0,0.0,65.6344,1,S,1, Mr,25,4
0,3,male,33.0,0.0,8.6542,0,S,1, Mr,26,4
0,3,male,37.0,2.0,7.925,0,S,0, Mr,30,4
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,21,3
1,3,female,21.0,0.0,7.65,0,S,1, Miss,32,4
1,3,male,28.0,0.0,7.775,0,S,1, Mr,22,4
0,3,male,38.0,0.0,7.8958,0,S,1, Mr,15,3
1,3,female,28.0,1.0,24.15,0,Q,0, Miss,19,3
0,1,male,47.0,0.0,52.0,1,S,1, Mr,30,4
0,3,female,14.0,1.0,14.4542,0,C,0, Miss,20,3
0,3,male,22.0,0.0,8.05,0,S,1, Mr,22,4
0,3,female,20.0,1.0,9.825,0,S,0, Miss,23,3
0,3,female,17.0,0.0,14.4583,0,C,1, Miss,21,3
0,3,male,21.0,0.0,7.925,0,S,1, Mr,21,3
0,3,male,54.5,0.0,7.75,0,Q,1, Mr,20,3
0,2,male,29.0,1.0,21.0,0,S,0, Mr,31,5
0,1,male,24.0,0.0,65.6344,1,C,1, Mr,24,4
0,3,female,2.5,2.5,31.275,0,S,0, Miss,33,5
0,2,male,21.0,2.0,65.6344,0,S,0, Mr,27,4
0,3,male,28.0,0.0,8.05,0,S,1, Mr,26,4
0,2,male,32.0,1.0,30.0708,0,C,0, Mr,20,3
1,2,female,32.0,0.0,13.0,1,S,1, Miss,19,3
0,1,male,54.0,0.0,65.6344,1,S,1, Mr,27,4
1,3,male,12.0,1.0,11.2417,0,C,0, Other,28,3
0,3,male,28.0,0.0,7.75,0,Q,1, Mr,19,3
1,3,male,24.0,0.0,7.1417,0,S,1, Mr,25,4
1,3,female,28.0,1.0,22.3583,1,C,0, Miss,17,3
0,3,male,45.0,0.0,6.975,0,S,1, Mr,18,3
0,3,male,33.0,0.0,7.8958,0,C,1, Mr,20,3
0,3,male,20.0,0.0,7.05,0,S,1, Mr,30,4
0,3,female,47.0,1.0,14.5,0,S,0, Mrs,46,7
1,2,female,29.0,1.0,26.0,0,S,0, Mrs,45,6
0,2,male,25.0,0.0,13.0,0,S,1, Mr,30,5
0,2,male,23.0,0.0,15.0458,0,C,1, Mr,18,3
1,1,female,19.0,0.0,26.2833,1,S,1, Miss,28,4
0,1,male,37.0,1.0,53.1,1,S,0, Mr,27,4
0,3,male,16.0,0.0,9.2167,0,S,1, Mr,19,4
0,1,male,24.0,0.0,65.6344,1,C,1, Mr,18,3
0,3,female,28.0,0.0,15.2458,0,C,1, Mrs,29,4
1,3,female,22.0,0.0,7.75,0,S,1, Miss,24,4
1,3,female,24.0,1.0,15.85,0,S,0, Mrs,52,7
0,3,male,19.0,0.0,6.75,0,Q,1, Mr,19,3
0,2,male,18.0,0.0,11.5,0,S,1, Mr,26,4
0,2,male,19.0,1.0,36.75,0,S,0, Mr,28,4
1,3,male,27.0,0.0,7.7958,0,S,1, Mr,44,5
0,3,female,9.0,2.0,34.375,0,S,0, Miss,32,5
0,2,male,36.0,0.0,26.0,1,S,1, Mr,40,6
0,2,male,42.0,0.0,13.0,0,S,1, Other,33,5
0,2,male,51.0,0.0,12.525,0,S,1, Other,26,4
1,1,female,22.0,1.0,65.6344,1,S,0, Mrs,33,5
0,3,male,54.5,0.0,8.05,0,S,1, Mr,16,3
0,3,male,40.0,0.0,14.5,0,S,1, Mr,31,5
0,3,male,28.0,0.0,7.3125,0,S,1, Mr,21,4
0,1,male,51.0,0.0,61.3792,0,C,1, Mr,27,4
1,3,female,16.0,0.0,7.7333,0,Q,1, Miss,32,4
0,3,male,30.0,0.0,8.05,0,S,1, Mr,15,3
0,3,male,28.0,0.0,8.6625,0,S,1, Mr,19,3
0,3,male,28.0,2.5,65.6344,0,S,0, Other,26,4
0,3,male,44.0,0.0,16.1,0,S,1, Mr,24,4
1,2,female,40.0,0.0,15.75,0,S,1, Mrs,50,7
0,3,male,26.0,0.0,7.775,0,S,1, Mr,26,4
0,3,male,17.0,0.0,8.6625,0,S,1, Mr,15,3
0,3,male,2.5,2.5,39.6875,0,S,0, Other,28,4
1,3,male,9.0,0.0,20.525,0,S,1, Other,47,6
1,1,female,28.0,0.0,55.0,1,S,1, Mrs,38,5
0,3,female,45.0,1.0,27.9,0,S,0, Mrs,47,6
0,1,male,28.0,0.0,25.925,0,S,1, Mr,19,4
0,3,male,28.0,0.0,56.4958,0,S,1, Mr,13,3
0,1,male,54.5,0.0,33.5,1,S,1, Mr,25,5
0,3,male,4.0,2.5,29.125,0,Q,0, Other,20,3
1,3,female,2.5,1.0,11.1333,0,S,0, Miss,28,4
0,3,male,21.0,0.0,7.925,0,S,1, Mr,25,4
0,1,male,54.5,0.0,30.6958,1,C,1, Mr,23,4
0,3,male,18.0,1.0,7.8542,0,S,0, Mr,22,4
0,3,male,28.0,2.5,25.4667,0,S,0, Other,29,4
0,1,female,50.0,0.0,28.7125,1,C,1, Miss,26,4
0,2,male,30.0,0.0,13.0,0,S,1, Mr,18,3
0,3,male,36.0,0.0,0.0,0,S,1, Mr,19,3
0,3,female,28.0,2.5,65.6344,0,S,0, Miss,28,4
0,2,male,28.0,0.0,15.05,0,C,1, Mr,16,3
0,3,male,9.0,2.5,31.3875,0,S,0, Other,37,5
1,2,male,2.5,2.0,39.0,1,S,0, Other,25,4
1,3,female,4.0,0.0,22.025,0,S,1, Miss,35,4
0,1,male,28.0,0.0,50.0,1,S,1, Mr,21,4
1,3,female,28.0,1.0,15.5,0,Q,0, Mrs,47,6
1,1,male,45.0,0.0,26.55,0,S,1, Mr,45,7
0,3,male,40.0,1.0,15.5,0,Q,0, Mr,16,3
0,3,male,36.0,0.0,7.8958,0,S,1, Mr,19,3
1,2,female,32.0,0.0,13.0,0,S,1, Mrs,19,3
0,2,male,19.0,0.0,13.0,0,S,1, Mr,21,3
1,3,female,19.0,1.0,7.8542,0,S,0, Miss,47,5
1,2,male,3.0,1.0,26.0,1,S,0, Other,26,4
1,1,female,44.0,0.0,27.7208,1,C,1, Mrs,41,6
1,1,female,54.5,0.0,65.6344,1,C,1, Miss,20,3
0,3,male,28.0,0.0,7.75,0,Q,1, Mr,19,3
0,3,male,42.0,0.0,8.4042,0,S,1, Mr,32,5
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,32,4
0,2,female,24.0,0.0,13.0,0,S,1, Miss,38,5
0,3,male,28.0,0.0,9.5,0,S,1, Mr,30,5
0,3,male,28.0,2.5,65.6344,0,S,0, Mr,19,3
0,3,male,34.0,0.0,6.4958,0,S,1, Mr,26,4
0,3,male,45.0,0.0,7.225,0,C,1, Mr,20,3
1,3,male,18.0,0.0,8.05,0,S,1, Mr,24,4
0,3,female,2.5,0.0,10.4625,1,S,1, Miss,26,4
0,3,male,32.0,1.0,15.85,0,S,0, Mr,26,4
1,3,male,26.0,0.0,18.7875,0,C,1, Mr,27,4
1,3,female,16.0,0.0,7.75,0,Q,1, Miss,25,4
1,1,male,40.0,0.0,31.0,1,C,1, Mr,16,3
0,3,male,24.0,0.0,7.05,0,S,1, Mr,14,3
1,2,female,35.0,0.0,21.0,0,S,1, Miss,26,4
0,3,male,22.0,0.0,7.25,0,S,1, Mr,22,4
0,2,male,30.0,0.0,13.0,0,S,1, Mr,27,4
0,3,male,28.0,1.0,7.75,0,Q,0, Mr,19,3
1,1,female,31.0,1.0,65.6344,1,C,0, Miss,23,3
1,3,female,27.0,0.0,7.925,0,S,1, Miss,22,3
0,2,male,42.0,1.0,27.0,0,S,0, Mr,28,4
1,1,female,32.0,0.0,65.6344,1,C,1, Miss,21,3
0,2,male,30.0,0.0,10.5,0,S,1, Mr,18,3
1,3,male,16.0,0.0,8.05,0,S,1, Mr,30,4
0,2,male,27.0,0.0,13.0,0,S,1, Mr,20,4
0,3,male,51.0,0.0,8.05,0,S,1, Mr,23,4
0,3,male,28.0,0.0,7.8958,0,S,1, Mr,20,3
1,1,male,38.0,1.0,65.6344,1,S,0, Mr,28,4
0,3,male,22.0,0.0,9.35,0,S,1, Mr,28,5
1,2,male,19.0,0.0,10.5,0,S,1, Mr,25,4
0,3,male,20.0,0.0,7.25,0,S,1, Mr,31,5
0,2,male,18.0,0.0,13.0,0,S,1, Mr,25,4
0,3,female,28.0,2.5,25.4667,0,S,0, Miss,23,3
1,1,female,35.0,1.0,65.6344,1,S,0, Mrs,44,6
0,3,male,29.0,0.0,7.775,0,S,1, Mr,24,4
0,2,male,54.5,0.0,13.5,0,S,1, Mr,25,4
1,3,female,5.0,2.5,31.3875,0,S,0, Miss,30,4
0,2,male,24.0,0.0,10.5,0,S,1, Mr,33,5
0,3,female,28.0,0.0,7.55,0,S,1, Miss,28,4
0,2,male,44.0,1.0,26.0,0,S,0, Mr,17,3
1,2,female,8.0,0.0,26.25,0,S,1, Miss,32,4
0,2,male,19.0,0.0,10.5,0,S,1, Mr,31,4
0,2,male,33.0,0.0,12.275,0,S,1, Mr,22,4
0,3,female,28.0,1.0,14.4542,0,C,0, Miss,21,3
1,3,female,28.0,1.0,15.5,0,Q,0, Miss,30,4
0,2,male,29.0,0.0,10.5,0,S,1, Mr,31,4
0,3,male,22.0,0.0,7.125,0,S,1, Mr,29,4
0,3,male,30.0,0.0,7.225,0,C,1, Mr,20,3
0,1,male,44.0,2.0,65.6344,1,Q,0, Other,27,4
0,3,female,25.0,0.0,7.775,0,S,1, Miss,37,5
1,2,female,24.0,0.0,14.5,0,S,1, Mrs,31,4
1,1,male,37.0,1.0,52.5542,1,S,0, Mr,29,4
0,2,male,54.0,1.0,26.0,0,S,0, Other,29,4
0,3,male,28.0,0.0,7.25,0,S,1, Mr,22,4
0,3,female,29.0,1.0,10.4625,1,S,0, Mrs,42,6
0,1,male,54.5,0.0,26.55,1,S,1, Mr,25,4
0,3,male,30.0,1.0,16.1,0,S,0, Mr,24,4
0,3,female,41.0,0.0,20.2125,0,S,1, Mrs,40,5
1,3,female,29.0,0.0,15.2458,0,C,1, Mrs,39,6
1,1,female,28.0,0.0,65.6344,0,C,1, Mrs,30,4
1,1,female,30.0,0.0,65.6344,1,S,1, Miss,20,3
1,1,female,35.0,0.0,65.6344,0,C,1, Miss,16,3
1,2,female,50.0,0.0,26.0,0,S,1, Mrs,27,4
0,3,male,28.0,0.0,7.75,0,Q,1, Mr,17,3
1,3,male,3.0,2.5,31.3875,0,S,0, Other,33,5
0,1,male,52.0,1.0,65.6344,1,S,0, Mr,17,3
0,1,male,40.0,0.0,0.0,1,S,1, Mr,21,3
0,3,female,28.0,0.0,7.75,0,Q,1, Miss,18,3
0,2,male,36.0,0.0,10.5,0,S,1, Mr,17,3
0,3,male,16.0,2.5,39.6875,0,S,0, Mr,25,4
1,3,male,25.0,1.0,7.775,0,S,0, Mr,24,4
1,1,female,54.5,0.0,65.6344,1,S,1, Mrs,45,6
1,1,female,35.0,0.0,65.6344,1,S,1, Miss,22,3
0,1,male,28.0,0.0,31.0,0,S,1, Mr,21,3
1,3,male,25.0,0.0,0.0,0,S,1, Mr,28,4
1,2,female,41.0,0.0,19.5,0,S,1, Mrs,41,5
0,1,male,37.0,0.0,29.7,1,C,1, Mr,21,4
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,26,4
1,1,female,54.5,1.0,65.6344,1,S,0, Miss,33,4
0,3,female,45.0,0.0,7.75,0,S,1, Miss,33,4
0,2,male,28.0,0.0,0.0,0,S,1, Mr,27,4
0,3,male,7.0,2.5,29.125,0,Q,0, Other,18,3
1,3,female,35.0,1.0,20.25,0,S,0, Mrs,32,5
0,3,male,54.5,0.0,7.75,0,Q,1, Mr,16,3
0,3,male,28.0,0.0,7.8542,0,S,1, Mr,32,5
0,3,male,16.0,0.0,9.5,0,S,1, Mr,25,4
1,3,male,19.0,0.0,8.05,0,S,1, Mr,26,4
0,1,male,28.0,0.0,26.0,1,S,1, Mr,26,4
0,3,male,33.0,0.0,8.6625,0,C,1, Mr,19,3
1,3,male,30.0,0.0,9.5,0,S,1, Mr,23,4
0,3,male,22.0,0.0,7.8958,0,S,1, Mr,20,3
1,2,male,42.0,0.0,13.0,0,S,1, Mr,20,3
1,3,female,22.0,0.0,7.75,0,Q,1, Miss,20,3
1,1,female,26.0,0.0,65.6344,0,S,1, Miss,28,4
1,1,female,19.0,1.0,65.6344,1,C,0, Mrs,39,6
0,2,male,36.0,0.0,12.875,1,C,1, Mr,22,4
0,3,female,24.0,0.0,8.85,0,S,1, Miss,19,3
0,3,male,24.0,0.0,7.8958,0,S,1, Mr,16,3
0,1,male,28.0,0.0,27.7208,0,C,1, Mr,17,4
0,3,male,23.0,0.0,7.2292,0,C,1, Mr,18,3
0,1,female,2.5,1.0,65.6344,1,S,0, Miss,28,4
1,1,male,28.0,0.0,30.5,1,S,1, Mr,21,3
1,1,female,50.0,0.0,65.6344,1,C,1, Mrs,47,6
1,3,female,28.0,0.0,7.75,0,Q,1, Miss,40,6
1,3,male,28.0,2.0,23.25,0,Q,0, Mr,18,3
0,3,male,19.0,0.0,0.0,0,S,1, Mr,31,5
1,2,female,28.0,0.0,12.35,1,Q,1, Miss,19,4
0,3,male,28.0,0.0,8.05,0,S,1, Mr,33,5
1,1,male,2.5,1.0,65.6344,1,S,0, Other,30,4
